HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
507.3764	1.928567	9.270164	0.001465956	1.918561
507.4018	1.922675	12.05206	0.002425068	1.924357
507.4272	1.927481	13.59297	0.004532183	1.931486
507.4526	1.936311	15.08749	0.007433429	1.929684
507.4780	1.951159	14.83482	0.01251736	1.920414
507.5034	1.929455	15.78972	0.008236758	1.913539
507.5288	1.897754	17.42892	0.002170122	1.911517
507.5542	1.883292	17.08298	-0.000698524	1.90823
507.5796	1.897559	15.66631	0.003044111	1.90832
507.6050	1.918793	14.27752	0.007942871	1.909493
507.6304	1.932189	14.47278	0.009886103	1.918426
507.6558	1.924488	15.26302	0.005668902	1.919644
507.6812	1.912255	16.16537	0.001194405	1.919601
507.7066	1.912989	17.88466	0.000789504	1.92429
507.7320	1.926018	20.98697	0.002521005	1.936243
507.7574	1.941552	25.3551	0.004082518	1.943043
507.7828	1.941215	24.63459	0.003053168	1.938349
507.8082	1.932393	22.5723	0.0000028	1.930671
507.8336	1.924121	20.91949	-0.001916903	1.932954
507.8590	1.919633	22.94106	-0.001582102	1.9329
507.8844	1.906404	25.46665	-0.002866533	1.92805
507.9098	1.88817	27.92763	-0.006322861	1.917532
507.9352	1.88441	22.2764	-0.00713602	1.894562
507.9606	1.890397	14.72672	-0.006448876	1.88764
507.9860	1.898862	10.23493	-0.00481622	1.88508
508.0114	1.90556	9.268867	-0.003311321	1.876815
508.0368	1.906243	10.94374	-0.003372051	1.887062
508.0622	1.905223	14.01698	-0.003372169	1.903648
508.0876	1.891266	17.75314	-0.002311825	1.917743
508.1130	1.878156	21.11402	-0.0004355299	1.935759
508.1384	1.867657	26.18945	0.002031522	1.943531
508.1638	1.863127	26.49426	0.0048324	1.9321
508.1892	1.85389	21.0487	0.006592448	1.932642
508.2146	1.842095	15.05131	0.009271226	1.934734
508.2400	1.840706	11.05168	0.01296146	1.943504
508.2654	1.883923	8.552917	0.02320284	1.966886
508.2908	1.953758	6.724728	0.03886478	2.013072
508.3162	2.063396	5.981587	0.06075718	2.077431
508.3416	2.17281	6.38005	0.08075345	2.158886
508.3670	2.290054	7.15118	0.1069489	2.236366
508.3924	2.37316	7.585385	0.126501	2.299525
508.4178	2.398789	7.388256	0.1244487	2.341917
508.4432	2.40661	6.979966	0.1135689	2.362996
508.4686	2.393921	6.74896	0.09909217	2.362351
508.4940	2.359892	6.765006	0.08223493	2.347176
508.5194	2.321233	6.874063	0.06544993	2.32745
508.5448	2.284858	6.896541	0.04899245	2.306103
508.5702	2.26555	6.454228	0.03884507	2.286811
508.5956	2.260121	5.778659	0.03613041	2.273255
508.6210	2.2563	5.566019	0.03330506	2.265516
508.6464	2.258697	6.283223	0.03532443	2.264201
508.6718	2.265402	7.602975	0.04149676	2.26794
508.6972	2.267198	8.233166	0.04665212	2.274248
508.7226	2.275692	7.658965	0.05262405	2.279178
508.7480	2.291711	6.694673	0.05971394	2.279639
508.7734	2.304243	6.269536	0.06570658	2.277547
508.7988	2.291679	6.527598	0.06294233	2.276523
508.8242	2.262123	7.040283	0.05429282	2.276164
508.8496	2.250718	7.510018	0.05125464	2.274356
508.8750	2.259719	7.663582	0.05350753	2.270238
508.9004	2.272765	7.607651	0.05589334	2.26656
