HOLE:	U1513E
EXPEDITION:	369
TOP:	461.2476
BOTTOM:	591.0416
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
475.9796	75.69588	35.43148	-0.160747	2696.236	397.0637
476.0304	74.05685	35.13161	-0.03287697	2583.112	417.2602
476.0812	76.70934	32.91445	-0.5146965	2775.281	446.7758
476.1320	80.81469	32.14069	-0.669706	2643.506	384.9405
476.1828	81.37685	33.56101	-0.7236482	2592.297	396.9666
476.2336	87.31898	26.91348	1.520121	2681.426	403.4602
476.2844	86.20092	30.44495	0.3465294	2605.705	421.0368
476.3352	79.40572	33.4702	-0.6586462	2702.825	417.2642
476.3860	76.17419	34.51639	-0.7519673	2535.018	386.1607
476.4368	80.28629	33.94618	-0.7932774	2541.858	402.9291
476.4876	75.16399	34.16541	-0.6254464	2483.656	434.0356
476.5384	75.9126	33.15954	-0.5952038	2605.863	452.8244
476.5892	76.30705	35.36049	-0.3852803	2719.142	383.1891
476.6400	83.15266	36.7002	-0.5530688	2518.89	390.4709
476.6908	82.29935	35.30549	-0.618616	2621.962	497.8848
476.7416	83.44321	33.68913	-0.475282	2602.486	449.4188
476.7924	75.91768	32.88811	-0.6163835	2657.879	434.4836
476.8432	75.65489	33.41018	-0.4569646	2568.424	460.2261
476.8940	71.35213	32.89333	0.1561836	2641.606	476.739
476.9448	70.49658	32.20245	0.2733357	2549.055	438.368
476.9956	72.67002	31.94573	0.09369527	2543.959	406.4839
477.0464	74.95091	35.05098	-0.09645566	2651.534	394.4423
477.0972	74.81631	37.39319	-0.08412351	2575.653	418.1758
477.1480	75.24316	38.26163	-0.1217145	2624.334	404.2386
477.1988	75.82766	36.64102	-0.1705264	2663.993	400.0069
477.2496	72.2913	35.35541	0.1233265	2607.603	455.0872
477.3004	74.11767	35.94897	-0.03143184	2659.876	424.0253
477.3512	74.69823	38.04354	-0.07482594	2671.136	447.6156
477.4020	78.17308	36.51653	-0.3607766	2607.068	417.5943
477.4528	77.46461	34.48177	-0.2943487	2612.068	380
477.5036	74.23674	33.81313	-0.01793519	2566.698	406.6047
477.5544	73.09534	34.73602	0.07808343	2618.978	433.4978
477.6052	71.68275	37.10271	0.204594	2616.525	426.0396
477.6560	71.12391	37.12653	0.2515786	2557.73	425.1285
477.7068	75.30788	35.23219	-0.1217286	2612.047	445.5375
477.7576	74.89713	35.40807	-0.2849784	2597.914	500.3471
477.8084	72.64288	36.1074	-0.449501	2569.722	479.5219
477.8592	72.3478	36.52058	-0.7005173	2641.39	439.4746
477.9100	70.41949	36.774	-0.7014099	2623.24	501.3591
477.9608	66.1046	35.84058	-0.5318256	2607.931	494.7878
478.0116	60.1103	35.92383	-0.131248	2606.857	477.1232
478.0624	54.51958	37.33476	0.3706332	2560.06	491.3447
478.1132	53.20296	36.3493	0.8372912	2628.159	487.2423
478.1640	52.50476	33.63187	1.115727	2718.205	528.6548
478.2148	52.86422	33.02819	1.004782	2678.609	552
478.2656	62.911	34.92243	0.5626305	2643.836	514.2861
478.3164	72.97761	37.06699	0.08628067	2610.35	442.5215
478.3672	74.0214	37.60204	-0.00131628	2434.405	381.5708
478.4180	70.82265	36.92463	0.2655722	2409.828	380.8612
478.4688	68.64441	36.40273	0.4387018	2548.194	416.4307
478.5196	67.03565	36.33084	0.5440967	2510.566	420.3117
478.5704	66.84621	37.43849	0.5654932	2408.935	436.8015
478.6212	68.75839	38.33544	0.4404844	2431.682	388.6755
478.6720	67.21282	36.18565	0.5505126	2543.683	372.21
478.7228	68.49426	36.38504	0.450557	2512.109	396.018
478.7736	71.55124	36.76936	0.1984111	2467.477	427.1665
478.8244	74.53702	36.73058	-0.04949706	2530.149	417.3278
478.8752	75.0349	37.19128	-0.08793063	2566.651	412.0954
478.9260	77.30752	36.6126	-0.2836825	2559.194	400.2259
478.9768	81.20295	33.45236	-0.5785003	2517.271	409.2005
479.0276	84.76008	35.14038	-0.7927511	2493.154	439.1591
479.0784	83.94315	35.08798	-0.7491527	2570.587	409.1573
479.1292	81.58128	34.22842	-0.6241102	2521.289	433.7265
479.1800	83.43167	32.55392	-0.7084085	2421.726	428.6734
479.2308	83.48895	31.88468	-0.7291089	2571.125	375.1674
