HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
435.5787	1.840008	11.80992	0.02455338	1.842097
435.6041	1.836369	11.20373	0.02319468	1.842017
435.6295	1.837985	11.72393	0.02095821	1.841
435.6549	1.841135	12.77379	0.01815381	1.839275
435.6803	1.844591	14.06145	0.01536271	1.837862
435.7057	1.842093	14.24057	0.01424157	1.836908
435.7311	1.832071	11.33071	0.010756	1.835902
435.7565	1.823763	9.364087	0.00880873	1.834128
435.7819	1.824586	9.376558	0.01009759	1.825222
435.8073	1.826381	10.67093	0.008658662	1.822018
435.8327	1.827665	12.25255	0.007461756	1.819456
435.8581	1.820843	13.15187	0.006573793	1.820627
435.8835	1.817715	14.64257	0.005372912	1.823748
435.9089	1.815489	16.06936	0.004561388	1.82407
435.9343	1.821018	15.02012	0.005280626	1.81081
435.9597	1.819324	13.36531	0.004635967	1.816815
435.9851	1.816976	11.83302	0.003877682	1.814499
436.0105	1.812736	9.551559	0.002893711	1.806414
436.0359	1.805201	6.885397	-0.0007144038	1.800359
436.0613	1.799909	5.486534	-0.003016696	1.796072
436.0867	1.803063	5.818383	-0.00304725	1.801074
436.1121	1.818047	7.260432	-0.0005564517	1.820643
436.1375	1.83669	8.786798	0.003210333	1.826766
436.1629	1.857387	9.691948	0.006476428	1.83606
436.1883	1.864126	11.01995	0.007059714	1.848082
436.2137	1.864075	11.88827	0.007370746	1.854962
436.2391	1.852292	12.05889	0.006169324	1.85849
436.2645	1.848602	11.1045	0.007121736	1.856663
436.2899	1.847813	11.48173	0.007933795	1.851825
436.3153	1.848983	12.04767	0.007513291	1.848672
436.3407	1.845959	11.67625	0.007922062	1.847726
436.3661	1.844465	9.493347	0.0103673	1.849281
436.3915	1.846167	8.058215	0.01343168	1.851059
436.4169	1.853162	7.795952	0.01593829	1.853079
436.4423	1.858931	8.443417	0.01754123	1.857202
436.4677	1.860081	9.257322	0.01646506	1.862559
436.4931	1.863246	10.14869	0.0143361	1.866799
436.5185	1.874963	10.99413	0.01474879	1.868257
436.5439	1.881307	11.50364	0.01518529	1.868
436.5693	1.875111	11.89289	0.01337251	1.86726
436.5947	1.862915	11.71137	0.01011104	1.865023
436.6201	1.857447	10.71509	0.009315373	1.860427
436.6455	1.854494	9.909323	0.01030588	1.855631
436.6709	1.847989	10.12322	0.009942665	1.853462
436.6963	1.843797	11.00917	0.008839504	1.85462
436.7217	1.848981	11.59672	0.008786656	1.857084
436.7471	1.860118	11.44147	0.010708	1.859724
436.7725	1.870778	10.98684	0.01340693	1.86287
436.7979	1.874396	10.62181	0.0170021	1.866359
436.8233	1.872344	11.36093	0.01725044	1.8694
436.8487	1.86907	12.71448	0.01561687	1.871465
436.8741	1.867609	12.67268	0.01742167	1.872941
436.8995	1.870706	11.34001	0.01954004	1.872429
436.9249	1.875305	9.914793	0.02121661	1.869712
436.9503	1.881775	9.498521	0.02399432	1.866853
436.9757	1.86992	9.52812	0.02286698	1.86606
437.0011	1.852415	9.594677	0.02047759	1.866971
437.0265	1.849323	9.145677	0.01957284	1.868103
437.0519	1.863078	9.274925	0.02302543	1.867964
437.0773	1.878007	9.584287	0.02541028	1.869619
437.1027	1.883522	10.49577	0.02591831	1.873858
437.1281	1.880971	10.70156	0.02373209	1.878251
437.1535	1.88048	10.7622	0.02426947	1.880148
437.1789	1.880808	10.79606	0.02519627	1.878474
437.2043	1.879425	10.64291	0.02614554	1.875254
437.2297	1.876883	11.85951	0.02621339	1.871646
437.2551	1.866541	13.80232	0.02207783	1.867463
437.2805	1.860945	13.68027	0.0184432	1.863564
437.3059	1.855882	10.77402	0.01514318	1.859069
437.3313	1.851537	8.638515	0.01320491	1.854498
437.3567	1.853681	7.673243	0.01643709	1.851784
437.3821	1.848402	7.571837	0.01679484	1.851856
437.4075	1.845103	7.503741	0.01735066	1.854498
437.4329	1.847974	8.295684	0.01659455	1.858728
437.4583	1.861476	8.67925	0.01970136	1.863598
437.4837	1.874261	9.018757	0.02262732	1.870081
437.5091	1.881159	8.782318	0.02308453	1.875554
437.5345	1.887412	8.713284	0.01826894	1.878478
437.5599	1.891943	8.768784	0.01388903	1.877854
437.5853	1.88272	9.642542	0.01240099	1.876522
437.6107	1.868142	10.70589	0.01038965	1.874151
437.6361	1.858536	11.53965	0.009330345	1.87073
437.6615	1.865322	10.68477	0.008685802	1.865943
437.6869	1.865313	9.919036	0.008394305	1.862351
437.7123	1.86394	8.99216	0.008302642	1.860674
437.7377	1.858326	7.612576	0.008239096	1.859622
437.7631	1.857102	7.382478	0.008932336	1.857587
437.7885	1.855524	7.949613	0.01011686	1.855653
437.8139	1.851718	9.304197	0.01018631	1.855053
