HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
455.1156	56.7483	0.6388	33.2157	508.5000	2530.5000
455.2680	54.8135	0.7730	33.1199	508.8889	2570.0000
455.4204	48.9062	1.0097	30.4256	470.0000	2596.0000
455.5728	52.1453	0.9558	31.3021	508.0000	2595.1111
455.7252	55.9892	0.7295	31.4153	516.5000	2495.0000
455.8776	54.3503	0.9732	30.2266	491.0000	2561.0000
456.0300	54.4840	0.9773	29.8173	486.0000	2555.5000
456.1824	55.0890	0.9658	29.8242	482.0000	2513.5000
456.3348	56.3708	0.9507	29.9451	508.0000	2533.0000
456.4872	43.9829	1.0311	29.7006	513.0000	2515.5000
456.6396	46.3037	0.5357	30.8782	496.5000	2591.0000
456.7920	44.2042	0.2346	32.4945	534.0000	2695.0000
456.9444	44.5161	0.1774	32.5929	499.5000	2644.0000
457.0968	41.2511	0.3025	30.3976	522.5000	2688.5000
457.2492	39.4923	0.3878	30.1546	537.0000	2686.5000
457.4016	51.0468	0.2609	29.5936	555.5000	2603.5000
457.5540	61.2145	0.8985	28.2191	526.0000	2481.5000
457.7064	67.2596	0.7922	29.7543	450.0000	2482.5000
457.8588	67.8669	0.7756	31.0710	432.5000	2496.0000
458.0112	75.3728	0.4531	32.6982	423.5000	2507.0000
458.1636	87.4874	-0.3800	34.7039	415.5000	2462.0000
458.3160	76.4819	-0.1548	34.0783	510.5000	2343.5000
458.4684	52.4793	0.3782	32.1663	512.0000	2486.5000
458.6208	36.6243	0.4751	30.4419	526.0000	2630.0000
458.7732	43.5915	0.2472	29.9282	591.5555	2485.0000
458.9256	43.3630	0.1935	29.0692	540.5000	2553.5000
459.0780	39.9350	0.2338	27.4470	515.5000	2696.5000
459.2304	38.3932	0.2358	25.8595	565.5000	2723.5000
459.3828	39.9951	0.1745	24.9914	592.0000	2736.5000
459.5352	38.9821	0.1367	24.9840	581.0000	2743.0000
459.6876	38.2134	0.0692	24.2444	571.0000	2753.0000
459.8400	37.6754	0.0870	23.2866	582.0000	2790.6667
459.9924	38.8161	0.0437	23.3047	615.0000	2788.5000
460.1448	37.6245	0.0731	23.4617	610.0000	2738.0000
460.2972	36.0797	0.1279	22.5673	567.5000	2734.0000
460.4496	36.5964	0.2205	22.7130	584.5000	2767.5000
460.6020	39.7446	0.1704	23.6987	572.5000	2723.0000
460.7544	41.6925	0.2122	24.1967	577.0000	2684.0000
460.9068	37.5725	0.3712	23.4807	561.0000	2720.5000
461.0592	36.6848	0.4469	24.2008	608.0000	2672.5000
461.2116	35.8453	0.4614	23.7503	566.5000	2686.0000
461.3640	45.7622	0.3188	23.3683	543.5000	2651.0000
461.5164	50.2538	0.2401	24.4296	559.5000	2574.2856
461.6688	43.7816	0.3665	25.7058	500.5714	2671.5000
461.8212	31.6255	0.6238	25.3369	442.6667	2703.5000
461.9736	38.7837	0.5533	27.5616	507.0000	2669.0000
462.1260	56.8233	0.5076	30.7172	480.0000	2520.0000
462.2784	67.4324	0.7844	29.6970	439.0000	2466.2222
462.4308	61.4051	0.9020	30.6674	469.0000	2426.0000
462.5832	65.5932	0.8417	32.9058	455.0000	2448.5000
462.7356	73.8912	0.5907	34.0350	444.0000	2446.0000
462.8880	83.7005	0.0326	35.4887	417.5000	2471.0000
463.0404	91.1277	-0.3919	35.1355	450.0000	2423.0000
463.1928	90.2530	-0.3609	34.9744	432.0000	2424.0000
463.3452	94.8033	-0.4295	34.9684	432.5000	2497.0000
463.4976	91.3527	-0.4066	35.7438	461.7778	2451.5000
463.6500	87.5609	-0.2335	34.8856	446.5000	2485.0000
463.8024	78.7394	0.3381	35.1067	440.0000	2441.5000
463.9548	76.0038	0.4905	34.6580	433.0000	2523.1111
464.1072	75.8159	0.4951	35.0115	442.5000	2378.2856
464.2596	72.9424	0.6201	34.7581	451.0000	2418.6667
