HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
232.4592	18.8158
232.6116	18.8192
232.7640	18.8048
232.9164	18.7861
233.0688	18.8020
233.2212	18.8083
233.3736	18.7992
233.5260	18.8051
233.6784	18.8075
233.8308	18.8147
233.9832	18.8214
234.1356	18.8051
234.2880	18.8103
234.4404	18.8020
234.5928	18.8052
234.7452	18.8158
234.8976	18.8147
235.0500	18.8075
235.2024	18.8242
235.3548	18.8214
235.5072	18.8178
235.6596	18.8186
235.8120	18.8052
235.9644	18.8186
236.1168	18.8075
236.2692	18.8147
236.4216	18.8051
236.5740	18.8131
236.7264	18.7964
236.8788	18.8178
237.0312	18.8186
237.1836	18.8115
237.3360	18.8131
237.4884	18.7988
237.6408	18.8048
237.7932	18.8083
237.9456	18.8075
238.0980	18.8048
238.2504	18.8083
238.4028	18.8103
238.5552	18.8052
238.7076	18.8186
238.8600	18.8178
239.0124	18.8158
239.1648	18.8083
239.3172	18.8186
239.4696	18.8131
239.6220	18.8147
239.7744	18.8297
239.9268	18.8147
240.0792	18.8075
240.2316	18.8083
240.3840	18.8131
240.5364	18.8051
240.6888	18.8075
240.8412	18.8147
240.9936	18.8214
241.1460	18.8131
241.2984	18.8083
241.4508	18.8214
241.6032	18.8115
241.7556	18.8103
241.9080	18.7988
242.0604	18.8020
242.2128	18.8052
242.3652	18.8103
242.5176	18.8075
242.6700	18.8115
242.8224	18.8083
242.9748	18.7992
243.1272	18.7937
243.2796	18.7925
243.4320	18.7992
243.5844	18.8052
243.7368	18.8075
243.8892	18.7703
244.0416	18.7438
244.1940	18.7830
244.3464	18.7909
244.4988	18.7798
244.6512	18.7632
244.8036	18.7659
244.9560	18.7798
245.1084	18.7687
245.2608	18.7893
245.4132	18.8020
245.5656	18.7659
245.7180	18.7481
245.8704	18.7604
246.0228	18.8463
246.1752	18.8186
246.3276	18.7703
246.4800	18.7770
246.6324	18.7798
246.7848	18.7576
246.9372	18.7798
247.0896	18.7861
247.2420	18.7438
247.3944	18.7576
247.5468	18.7881
247.6992	18.7735
247.8516	18.7687
248.0040	18.7481
248.1564	18.7798
248.3088	18.7481
248.4612	18.7465
248.6136	18.7493
248.7660	18.7481
248.9184	18.7964
249.0708	18.8115
249.2232	18.8048
249.3756	18.7766
249.5280	18.7909
249.6804	18.8075
249.8328	18.8115
249.9852	18.8103
250.1376	18.8052
250.2900	18.8131
250.4424	18.7323
250.5948	18.7410
250.7472	18.7798
250.8996	18.7659
251.0520	18.7038
251.2044	18.6966
251.3568	18.7259
251.5092	18.7382
251.6616	18.7101
251.8140	18.6800
251.9664	18.6658
252.1188	18.7188
252.2712	18.7133
252.4236	18.6848
252.5760	18.6883
252.7284	18.7481
252.8808	18.7493
253.0332	18.7410
253.1856	18.7513
253.3380	18.7659
253.4904	18.7450
253.6428	18.7354
253.7952	18.7069
253.9476	18.7244
254.1000	18.7196
254.2524	18.7077
254.4048	18.7271
254.5572	18.7291
254.7096	18.7022
254.8620	18.6943
255.0144	18.7133
255.1668	18.7228
255.3192	18.4638
255.4716	18.6277
255.6240	18.8103
255.7764	18.8103
255.9288	18.8083
256.0812	18.8269
256.2336	18.8273
256.3860	18.8131
256.5384	18.8178
256.6908	18.8048
256.8432	18.8158
256.9956	18.8178
257.1480	18.8186
257.3004	18.8273
257.4528	18.8214
257.6052	18.8083
257.7576	18.8103
257.9100	18.8020
258.0624	18.8147
258.2148	18.8214
258.3672	18.8115
258.5196	18.8242
258.6720	18.8083
258.8244	18.8048
258.9768	18.8083
259.1292	18.8103
259.2816	18.8147
259.4340	18.8131
259.5864	18.8103
259.7388	18.8115
259.8912	18.8103
260.0436	18.8083
260.1960	18.8048
260.3484	18.8210
260.5008	18.8075
260.6532	18.8269
260.8056	18.8210
260.9580	18.8186
261.1104	18.8083
261.2628	18.8075
261.4152	18.8083
261.5676	18.7216
261.7200	18.6784
261.8724	18.7354
262.0248	18.7438
262.1772	18.7481
262.3296	18.7521
262.4820	18.7196
262.6344	18.7632
262.7868	18.7830
262.9392	18.7798
263.0916	18.7893
263.2440	18.7715
263.3964	18.8115
263.5488	18.8131
263.7012	18.8048
263.8536	18.6056
264.0060	17.7097
264.1584	18.6531
264.3108	18.1062
264.4632	16.9644
264.6156	16.5704
264.7680	17.1387
264.9204	17.8705
265.0728	18.7493
265.2252	18.8115
265.3776	18.8103
265.5300	18.8115
265.6824	18.8020
265.8348	18.8147
265.9872	18.8186
266.1396	18.8083
266.2920	18.8186
266.4444	18.8242
266.5968	18.8115
266.7492	18.8131
266.9016	18.8115
267.0540	18.8158
267.2064	18.8051
267.3588	18.8158
267.5112	18.8147
267.6636	18.8186
267.8160	18.8158
267.9684	18.8051
268.1208	18.8048
268.2732	18.8083
268.4256	18.5968
268.5780	17.8135
268.7304	17.7513
268.8828	16.5621
269.0352	17.0416
269.1876	17.1220
269.3400	16.7933
269.4924	17.5074
269.6448	18.8463
269.7972	18.1283
269.9496	16.8504
270.1020	17.8650
270.2544	17.0436
270.4068	17.0749
270.5592	16.9486
270.7116	16.5316
270.8640	16.7700
271.0164	15.2916
271.1688	15.2591
271.3212	15.0508
271.4736	14.8322
271.6260	14.7752
271.7784	16.0880
271.9308	16.0852
272.0832	16.0900
272.2356	15.8801
272.3880	15.6718
272.5404	17.3993
272.6928	18.6879
272.8452	18.7632
272.9976	18.6879
273.1500	18.7077
273.3024	18.5042
273.4548	17.3383
273.6072	17.8389
273.7596	17.3743
273.9120	16.9771
274.0644	16.9030
274.2168	17.2523
274.3692	17.0816
274.5216	16.6230
274.6740	16.0425
274.8264	16.0353
274.9788	17.8895
275.1312	18.7327
275.2836	18.7386
275.4360	18.7160
275.5884	18.7160
275.7408	16.6349
275.8932	16.5233
276.0456	16.3086
276.1980	16.3042
276.3504	16.6508
276.5028	15.0651
276.6552	15.0382
276.8076	14.7768
276.9600	14.3855
277.1124	14.0311
277.2648	15.4560
277.4172	15.6528
277.5696	15.6722
277.7220	15.7193
277.8744	16.2183
278.0268	16.2611
278.1792	16.4096
278.3316	16.1153
278.4840	15.9494
278.6364	16.0140
278.7888	16.0991
278.9412	16.1546
279.0936	16.1692
279.2460	15.9577
279.3984	15.9157
279.5508	16.2266
279.7032	16.4892
279.8556	16.6535
280.0080	16.7807
280.1604	16.2266
280.3128	18.5105
280.4652	18.8075
280.6176	18.7964
280.7700	18.3394
280.9224	18.7259
281.0748	18.7632
281.2272	18.7632
281.3796	18.6404
281.5320	17.6903
281.6844	18.0701
281.8368	18.7077
281.9892	18.6911
282.1416	18.7576
282.2940	18.7418
282.4464	17.4381
282.5988	17.1609
282.7512	16.9708
282.9036	16.6175
283.0560	16.4037
283.2084	15.2619
283.3608	16.1724
283.5132	17.3244
283.6656	16.6825
283.8180	16.3930
283.9704	16.3054
284.1228	15.5169
284.2752	15.2924
284.4276	15.2853
284.5800	15.2120
284.7324	15.5166
284.8848	16.8116
285.0372	16.1573
285.1896	16.2801
285.3420	15.7447
285.4944	15.4975
285.6468	14.8960
285.7992	14.8005
285.9516	14.9764
286.1040	14.9209
286.2564	14.6687
286.4088	14.2746
286.5612	14.9071
286.7136	18.7964
286.8660	18.7893
287.0184	16.7700
287.1708	17.4333
287.3232	18.7770
287.4756	18.8052
287.6280	18.8075
287.7804	18.8178
287.9328	18.8020
288.0852	18.8052
288.2376	18.8048
288.3900	18.8103
288.5424	18.7956
288.6948	18.7604
288.8472	18.5675
288.9996	17.4797
289.1520	17.2559
289.3044	16.7090
289.4568	15.3708
289.6092	15.2231
289.7616	16.1248
289.9140	18.6689
290.0664	17.3161
290.2188	16.9137
290.3712	16.3375
290.5236	14.9463
290.6760	16.9030
290.8284	16.9945
290.9808	17.0246
291.1332	18.4887
