HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
132.5236	54.4821	0.9074	29.4682	477.5000	2640.0000
132.6760	52.9929	1.0734	30.4138	512.0000	2561.0000
132.8284	53.8665	0.7228	32.5763	506.5000	2579.0000
132.9808	48.3796	0.9586	31.5044	500.0000	2614.0000
133.1332	53.7591	0.4363	32.5175	493.1429	2574.0000
133.2856	52.7414	0.5259	31.6655	509.0000	2608.0000
133.4380	51.1375	0.3888	30.7511	488.5000	2544.5715
133.5904	51.2605	0.4587	31.5793	463.5000	2633.0000
133.7428	53.6517	0.5180	32.1198	470.5000	2553.5000
133.8952	57.3142	0.7036	32.5742	459.4286	2621.5000
134.0476	57.9535	0.9011	33.1252	465.0000	2595.5000
134.2000	59.8235	0.9260	31.8824	485.0000	2574.5000
134.3524	55.9417	1.0280	30.5323	484.5000	2590.5000
134.5048	53.6535	1.0659	28.9034	478.5000	2598.8572
134.6572	49.0132	1.1306	29.0357	483.0000	2555.5000
134.8096	57.3958	1.0006	29.0720	494.0000	2562.5000
134.9620	63.4147	0.7821	31.1061	478.0000	2521.5000
135.1144	68.8796	0.4680	32.8199	459.4286	2494.0000
135.2668	62.5335	0.8198	32.3996	466.0000	2487.0000
135.4192	59.5632	0.9415	31.4753	486.0000	2505.5000
135.5716	58.1741	0.9843	30.9632	471.0000	2514.2856
135.7240	59.0567	0.9653	31.1430	490.0000	2565.0000
135.8764	56.7896	1.0173	30.6780	475.0000	2607.0000
136.0288	55.9576	1.0307	30.7917	482.2857	2576.5000
136.1812	59.6474	0.9407	31.2277	485.0000	2523.0000
136.3336	55.8749	1.0371	31.7964	485.0000	2537.0000
136.4860	55.3288	1.0428	30.4040	462.5000	2602.5000
136.6384	50.5872	1.1225	29.1988	503.5000	2577.1428
136.7908	51.0683	1.1021	28.5651	499.5000	2529.5000
136.9432	50.7120	1.1284	28.3723	486.0000	2582.0000
137.0956	49.3493	1.1356	27.2867	464.0000	2573.5000
137.2480	58.3016	0.9958	29.2751	493.5000	2531.5000
137.4004	58.9477	0.9796	31.4167	477.0000	2523.3333
137.5528	63.3881	0.7857	32.5012	482.5000	2584.0000
137.7052	61.8083	0.8515	31.4815	493.7143	2585.5000
137.8576	62.3234	0.8293	31.7828	499.4286	2525.5000
138.0100	55.1454	1.0380	31.2294	532.5000	2627.0000
138.1624	56.3241	0.8043	31.8183	472.0000	2635.5000
138.3148	58.4886	0.8823	31.8090	491.5000	2513.0000
138.4672	59.8737	0.7315	33.2420	483.0000	2631.0000
138.6196	57.8902	0.7638	33.3540	503.0000	2608.0000
138.7720	57.8320	0.6208	32.7537	487.0000	2586.0000
138.9244	58.4457	0.5045	32.3456	504.0000	2568.5000
139.0768	59.2666	0.7763	31.9588	502.2857	2591.5000
139.2292	59.7019	0.6816	32.7805	483.0000	2663.5000
139.3816	58.2127	0.8740	32.8849	473.0000	2574.0000
139.5340	57.9310	0.6255	33.7067	482.0000	2583.4285
139.6864	65.9889	0.6444	33.7977	475.0000	2543.0000
139.8388	78.3890	-0.2641	34.3637	459.5000	2441.0000
139.9912	86.2483	-0.6862	33.7609	457.0000	2527.0000
140.1436	84.9509	-0.6510	33.2444	402.8571	2492.0000
140.2960	82.7885	-0.5559	34.5502	475.0000	2453.5000
140.4484	84.1211	-0.6221	34.6955	433.5000	2460.0000
140.6008	80.7399	-0.4234	35.1984	414.5000	2464.5715
140.7532	86.0332	-0.6822	34.0089	435.5000	2482.0000
140.9056	83.7379	-0.6102	34.4804	434.5000	2463.5000
141.0580	83.8769	-0.6155	32.0536	425.5000	2512.0000
141.2104	82.4290	-0.5466	30.3645	431.4286	2414.0000
141.3628	76.7140	-0.2472	30.6368	437.0000	2455.4285
141.5152	76.8656	-0.5064	30.7102	449.0000	2474.0000
141.6676	76.1062	-0.6366	30.0817	425.5000	2440.5000
141.8200	81.3298	-0.6535	30.5486	416.0000	2443.0000
141.9724	79.2504	-0.6687	31.2733	400.0000	2470.0000
142.1248	76.7226	-0.5710	31.4140	404.5000	2442.0000
142.2772	72.2213	-0.2187	30.9621	434.5000	2413.5000
142.4296	70.5686	-0.4164	30.8139	480.5000	2452.0000
142.5820	60.4993	-0.2737	31.7142	523.5000	2454.8572
142.7344	52.4120	0.0438	30.5125	536.5000	2572.5000
142.8868	41.4524	0.2801	29.9378	525.5000	2660.5000
143.0392	42.3994	0.2043	28.7413	583.5000	2781.5000
143.1916	41.9655	0.2557	28.9680	528.0000	2642.5000
143.3440	45.4855	0.2674	27.9537	538.5000	2683.5000
