HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	671.2368
DEPTH_WMSF	LCAL
m	in
452.8476	10.32884
453.0000	10.33303
453.1524	10.32838
453.3048	10.32838
453.4572	10.32838
453.6096	10.32901
453.7620	10.33287
453.9144	10.33057
454.0668	10.34255
454.2192	10.32989
454.3716	10.33899
454.5240	10.33878
454.6764	10.32974
454.8288	10.3352
454.9812	10.3293
455.1336	10.33334
455.2860	10.33171
455.4384	10.32838
455.5908	10.32838
455.7432	10.32838
455.8956	10.33104
456.0480	10.33799
456.2004	10.33027
456.3528	10.33468
456.5052	10.32838
456.6576	10.32838
456.8100	10.32838
456.9624	10.32838
457.1148	10.33387
457.2672	10.35349
457.4196	10.36661
457.5720	10.3684
457.7244	10.36907
457.8768	10.37537
458.0292	10.36958
458.1816	10.36958
458.3340	10.37874
458.4864	10.40075
458.6388	10.40189
458.7912	10.39569
458.9436	10.40125
459.0960	10.40234
459.2484	10.3965
459.4008	10.39674
459.5532	10.39321
459.7056	10.40149
459.8580	10.40431
460.0104	10.40127
460.1628	10.40092
460.3152	10.40006
460.4676	10.40588
460.6200	10.40568
460.7724	10.39496
460.9248	10.39193
461.0772	10.4014
461.2296	10.41529
461.3820	10.411
461.5344	10.42253
461.6868	10.40696
461.8392	10.33977
461.9916	10.31894
462.1440	10.31832
462.2964	10.32426
462.4488	10.32024
462.6012	10.31806
462.7536	10.32427
462.9060	10.35138
463.0584	10.40966
463.2108	10.44803
463.3632	10.45198
463.5156	10.46076
463.6680	10.46624
463.8204	10.53162
463.9728	10.75145
464.1252	10.75124
464.2776	10.42257
464.4300	10.24775
464.5824	10.13189
464.7348	9.802922
464.8872	9.627975
465.0396	9.632884
465.1920	9.633733
465.3444	9.664681
465.4968	9.707178
465.6492	9.773076
465.8016	9.936802
465.9540	10.13531
466.1064	10.53452
466.2588	10.40836
466.4112	10.11411
466.5636	10.05636
466.7160	10.05783
466.8684	10.05577
467.0208	10.04495
467.1732	10.03998
467.3256	10.04567
467.4780	10.04247
467.6304	10.05445
467.7828	10.04597
467.9352	10.03998
468.0876	10.04593
468.2400	10.04222
468.3924	10.04603
468.5448	10.04211
468.6972	10.03998
468.8496	10.04774
469.0020	10.06124
469.1544	10.08363
469.3068	10.08305
469.4592	10.08519
469.6116	10.09198
469.7640	10.08376
469.9164	10.08775
470.0688	10.08279
470.2212	10.08118
470.3736	10.08791
470.5260	10.08263
470.6784	10.08802
470.8308	10.08253
470.9832	10.08118
471.1356	10.08118
471.2880	10.08118
471.4404	10.08118
471.5928	10.08118
471.7452	10.08118
471.8976	10.09568
472.0500	10.08304
472.2024	10.08118
472.3548	10.11081
472.5072	10.17758
472.6596	10.1917
472.8120	10.18485
472.9644	10.18418
473.1168	10.18418
473.2692	10.1919
473.4216	10.19242
473.5740	10.1846
473.7264	10.18418
473.8788	10.19211
474.0312	10.18443
474.1836	10.19221
474.3360	10.18433
474.4884	10.18418
474.6408	10.18418
474.7932	10.18418
474.9456	10.18418
475.0980	10.18428
475.2504	10.19242
475.4028	10.19221
475.5552	10.1845
475.7076	10.19409
475.8600	10.18436
476.0124	10.18809
476.1648	10.18418
476.3172	10.18483
476.4696	10.19375
476.6220	10.18418
476.7744	10.18418
476.9268	10.18959
477.0792	10.24637
477.2316	10.24926
477.3840	10.2423
477.5364	10.24691
477.6888	10.25324
477.8412	10.24689
477.9936	10.25338
478.1460	10.24636
478.2984	10.24976
478.4508	10.24598
478.6032	10.24598
478.7556	10.24598
478.9080	10.24598
479.0604	10.24614
479.2128	10.24997
479.3652	10.24607
479.5176	10.24999
